"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.5225584986574","127.393528408757","253.510140405616","426.526042323016","568.543180372733","757.132862441418","1172.85834159738","977.544938594993","1152.62884406443","1401.50873826589","",
"Afghanistan","AFG","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.479690142096898","0.53125412863316","1.21945834484331","1.42549073060707","1.70808042505671","2.15031247963196","12.0396365182863","43.4478350470019","52.8618205998399","27.5223902662322","",
"Angola","AGO","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.28445298957718","1.85791791561758","3.18624421900793","4.57414692159912","5.93873181128833","8.14075808245483","8.32105861617189","10.7992997760856","11.1977495963779","14.7367055042223","",
"Albania","ALB","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.11943477235488","8.26106337096133","25.5137134485887","35.5774531517479","52.2653390116797","68.3860849244091","144.640261242564","443.020375805171","526.099855706299","767.292728482432","",
"Andorra","AND","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","686.80505393788","943.317372562599","1116.13912916884","978.037487310273","1098.30457121937","2025.35539859763","2833.22768024632","3415.54005792133","5194.40043632964","20183.5575950844","",
"Arab World","ARB","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.20751576609145","9.01243427876581","16.6940385162247","20.4984713820742","26.7260261612326","36.5252705175437","55.7598012589001","127.066271162273","136.729528348727","169.730701087417","",
"United Arab Emirates","ARE","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.812994357419","125.631833675971","237.048322853034","275.388648073312","367.043169898553","586.641332628011","938.683770289008","1285.09951773984","1483.96436948802","1912.07661325195","",
"Argentina","ARG","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.203211310809","34.0268856020468","63.3307655179964","73.8574224754747","89.9237160032342","123.272841307535","735.024765104071","1628.59139070889","1872.59091022077","3018.48882540292","",
"Armenia","ARM","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4263726058876","18.7725661889396","30.1640403726611","54.528186240675","62.4913516432994","76.5667208900334","189.704462925209","271.324897472128","335.052524310788","478.745362576921","",
"American Samoa","ASM","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.4959610549404","17.9343245036676","17.963964287639","0","430.176910254342","17.9172937719487","179.401158931487","988.852930600503","450.734697557018","343.505929997107","",
