"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Benin","BEN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000287853","0.000279235","0.00104516","0.00245546","0.0182307","0.0083976","0.0968619","0.213098","0.293871","0.396741","0.429231","0.424575","0.441525","0.692732","0.205094","0.256058","0.235384","0.21553","",
"Burkina Faso","BFA","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000406732","0.00114583","0.00118184","0.00286099","0.0124013","0.0472354","0.0698856","0.0789044","0.0878232","0.0874461","0.086463","0.075922","0.0307517","0.0516492","0.0664151","0.0644029","0.0699594","0.0591249","",
"Bangladesh","BGD","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0306392","0.034649","0.217029","0.28092","0.313854","0.397641","0.998501","2.00183","3.13136","4.17301","4.5718","6.33367","4.95903","",
"Bulgaria","BGR","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0858788","2.15259","5.0409","8.3028","11.2114","13.3543","15.1478","17.0329","18.1585","19.4998","20.4383","22.425","23.736","25.2971","26.6071","27.6502","",
"Bahrain","BHR","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.168591","0.677416","1.2504","1.80227","2.41035","4.03039","6.58864","8.39894","11.7725","12.4842","22.808","22.7231","22.8175","21.5236","18.4452","16.2864","14.2987","11.5715","12.493","",
"Bahamas, The","BHS","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.36773","2.45076","3.49409","4.01481","4.11933","5.01189","6.07607","7.41967","9.03565","6.95945","4.3095","21.4338","19.743","20.8206","21.6506","22.5248","22.7549","22.5774","21.1293","",
"Bosnia and Herzegovina","BIH","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000719774","0.00181067","0.00566582","0.0398706","0.176319","0.363899","1.0623","2.25075","5.01988","7.819","10.5493","11.7516","13.0208","14.5685","15.5769","18.5162","19.5634","19.8093","20.8655","22.5958","",
"Belarus","BLR","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000205214","0.00127076","0.00779899","0.0163563","0.119987","1.79111","5.05646","11.5793","17.6914","22.2836","26.8857","29.5627","28.4608","30.7593","32.4756","33.4731","33.8691","33.8691","",
"Belize","BLZ","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.348891","1.02241","1.76956","2.48688","2.50146","2.62268","2.65052","2.76465","2.93668","2.95059","2.86363","2.80163","4.81502","4.98751","5.05789","6.43693","7.58288","",
"Bermuda","BMU","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.902","35.6886","43.5497","51.5008","60.9069","61.3253","61.3253","61.3253","62.2806","54.2392","47.1017","35.979","36.175","36.175","36.175","",
"Bolivia","BOL","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0380884","0.0644522","0.0961844","0.140517","0.187208","0.355466","0.815866","0.972546","0.95484","0.720085","1.12461","1.4617","1.61381","1.66472","2.60691","3.39499","4.44015","4.44015","",
"Brazil","BRA","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000588979","0.00406224","0.0572114","0.186799","0.407157","0.531465","1.71595","1.73741","2.53339","4.00223","5.21632","6.04993","7.20486","9.02873","9.59401","10.6253","11.8208","12.4626","12.9816","13.9091","14.8842","15.4293","",
"Barbados","BRB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.95848","10.7634","11.5597","13.9831","16.9117","17.5805","20.3857","19.9163","22.1332","23.5755","23.8477","27.2903","27.4316","30.4018","31.2124","34.1165","37.2103","",
"Brunei Darussalam","BRN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.557591","0.795024","1.08635","1.74219","2.22561","2.42098","3.09816","4.45178","5.21716","5.58323","5.88918","4.97482","6.81394","7.3844","8.29704","8.60314","9.70827","11.9297","12.5079","",
"Bhutan","BTN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.306724","0.497993","1.26549","1.9087","2.38975","2.88369","3.47387","3.8295","2.2382","2.24086","2.26608","1.1498","",
"Botswana","BWA","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0889344","0.0980441","0.188754","0.464597","0.511902","0.602786","0.948942","1.09024","1.04676","1.59388","1.73738","2.73421","1.47088","1.77652","1.95386","",
"Central African Republic","CAF","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0183314","0.0136371","0.0136371","0.0136371","0.0413517","0.0162197","0.0134682","0.0130294","0.0105159","",
"Canada","CAN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.466324","1.92063","4.61264","9.18392","11.2739","14.3324","17.0232","21.7757","24.7226","27.5588","29.5231","30.4924","31.6775","32.6661","33.4743","34.2653","35.2397","36.4046","36.7933","37.9064","38.569","39.7796","",
"Central Europe and the Baltics","CEB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0933755619422243","0.421324918977391","0.95695760054835","2.03118865166097","3.58256414891563","7.77503261825184","11.4684485467555","13.451750461569","15.9139555149607","17.1855258035875","19.2936827314622","19.9944832121053","21.104906380105","21.8780160614752","22.5579443349981","23.3533639961901","24.4301249353477","24.7387459095713","","",
"Switzerland","CHE","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.789724","1.95009","6.30466","10.7847","16.7592","22.5972","27.4899","31.5854","33.5348","35.5358","37.3113","38.9318","40.1145","42.3991","43.0902","44.6024","45.0306","46.3058","46.331","45.2082","",
"Channel Islands","CHI","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0500575","0.430024","1.20154","2.22235","2.99022","4.37852","6.18573","7.87837","8.54175","9.79899","10.487","11.6705","12.4499","13.0619","14.0195","15.1338","15.9513","16.591","17.3665","18.0947","",
"China","CHN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00175584","0.025885","0.252303","0.85296","1.88496","2.80663","3.79951","4.9342","6.123","7.63887","9.22969","11.3685","12.6558","13.5722","14.3258","19.6927","22.8137","27.7399","28.5352","31.3352","",
"Cote d'Ivoire","CIV","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00234664","0.00459642","0.00675038","0.0533194","0.0521615","0.0510059","0.0498526","0.0498526","0.0498526","0.21426","0.254809","0.560132","0.472343","0.572479","0.584451","0.701729","0.842738","",
"Cameroon","CMR","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00113909","0.00231018","0.00341693","0.00446691","0.00454777","0.0292706","0.0512427","0.0644442","0.0765492","0.0742047","0.0877615","0.192146","0.171444","0.0744361","0.772566","",
"Congo, Dem. Rep.","COD","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.000630616","0.000677806","0.00131157","0.00126921","0.00122852","0.00549555","0.00549555","",
"Congo, Rep.","COG","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0030154","0.00584969","0.0298304","0.0308634","0.00947486","0.0105553","0.0105553","0.0105553","0.0105553","0.0105553","0.0105553","",
"Colombia","COL","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0223871","0.0343552","0.0853522","0.155328","0.302104","0.747245","1.45385","2.75985","4.00427","4.72576","5.84448","7.33233","8.54823","9.75927","10.7065","11.6281","12.2739","12.9443","13.4483","13.806","",
"Comoros","COM","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00016744","0.000653993","0.000653993","0.0127802","0.0167369","0.00980316","0.0477025","0.0566116","0.170334","0.175319","0.208457","0.205808","0.205382","0.201992","0.183943","0.129982","",
"Cabo Verde","CPV","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0619775","0.202362","0.38664","0.806845","1.53481","2.2545","3.26213","4.27618","3.92946","4.14305","3.6807","3.15736","2.92594","2.78941","2.87936","3.22438","",
"Costa Rica","CRI","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.219194","0.357296","0.661065","1.04805","1.91759","2.15682","2.46327","4.04036","8.65696","9.06053","9.56898","10.2251","10.7673","11.5239","13.0443","15.0313","16.6229","17.9044","",
"Caribbean small states","CSS","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.416715461932976","0.979348546543877","1.54517855304504","2.05890333561382","2.786150299674","3.70906259922399","4.84531146053992","6.26907945495832","6.78507780201531","7.09565852161971","8.86865337399833","9.46773330574047","10.5021758801939","12.421866991977","13.3691450878995","13.7196929978189","14.7267066818595","","",
"Cuba","CUB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0172961","0.0199876","0.0256798","0.0330131","0.0393444","0.0445319","0.0475063","0.0689225","0.0720279","0.127286","0.295751","0.871731","1.61232","",
"Curacao","CUW","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8778","22.9833","23.5978","24.4051","25.0239","26.5212","30.4623","30.4623","30.4623","",
"Cayman Islands","CYM","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.5619","33.07","33.2651","32.5098","32.7776","33.9301","38.5699","44.3636","39.2127","49.2758","49.2758","49.2758","",
"Cyprus","CYP","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.356481","0.829079","1.39774","2.34639","4.31595","8.40784","12.7366","18.7446","21.8094","23.4934","24.9881","25.533","26.5918","28.5526","30.9145","32.7704","34.7948","26.3576","37.7881","",
"Czech Republic","CZE","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0242969","0.0603641","0.149235","0.338798","2.30477","6.91218","10.8024","14.4505","16.8781","19.4134","21.4604","23.7458","25.1102","26.9793","28.2767","27.7947","28.9106","29.5657","29.9445","33.5366","",
"Germany","DEU","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.325549","2.57815","3.93082","5.47698","8.57355","13.2187","18.3832","24.3011","28.0145","30.8586","32.3678","33.7108","34.5261","35.2845","36.3078","37.5454","38.9324","40.2044","41.0854","41.9933","",
"Djibouti","DJI","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000557426","0.000682114","0.000803275","0.000803275","0.000803275","0.00536225","0.01913","0.135576","0.300236","0.638421","0.95906","1.32392","1.71713","2.00443","2.2368","2.64389","2.61271","2.58331","2.66007","2.66007","",
"Dominica","DMA","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11486","0.251217","3.20461","3.78174","4.62192","4.81661","6.08049","7.06265","9.88324","10.3033","11.7258","11.7139","11.9777","15.0206","15.172","21.2958","21.7188","21.5833","16.0754","16.0754","",
"Denmark","DNK","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2544","4.4419","8.39966","13.334","18.8347","24.7866","31.8741","34.8002","36.482","36.6009","38.0282","38.389","38.8448","40.3041","41.3432","42.2762","43.0967","43.8218","44.0593","43.946","",
"Dominican Republic","DOM","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.169485","0.415145","0.666948","1.11599","1.86053","2.52819","3.29541","4.02785","4.31988","4.86989","5.24177","5.90246","6.6731","7.38","7.48074","7.47885","8.24921","",
"Algeria","DZA","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0557895","0.110118","0.407243","0.505336","0.840107","1.39646","2.31506","2.50157","2.67516","3.08889","3.35604","4.10982","5.71221","7.05171","7.75629","7.25539","8.32168","",
"East Asia & Pacific (excluding high income)","EAP","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00177489091521515","0.021804156265127","0.188711195651218","0.632716988742924","1.39998497545949","2.05315230412533","2.8059987275795","3.71415612752194","4.65569681858108","5.87908268117657","7.07590838978537","8.62524170166986","9.62199464918431","10.3175540790576","10.8977256697752","14.7058294101254","16.9800969719445","20.5352759288418","21.2906357216452","","",
"Early-demographic dividend","EAR","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.019352291985252","0.0534237945640469","0.10564495993828","0.200569954244142","0.353475905219035","0.558820336263008","0.81268575937571","1.14251176549543","1.47826227472133","1.7549472622437","2.03161309496443","2.31498807744442","2.53149510436154","2.74763297547219","3.14434849004672","3.46770713092701","3.733996485879","4.07749690452374","","",
"East Asia & Pacific","EAS","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.321039335310931","0.739899144371288","1.32928641567678","2.09692935952333","3.10897555519597","3.91959447813093","4.9240438711608","5.87948665842209","6.89631023888714","8.14520630228076","9.32772128185808","10.8154208517772","11.7755816071877","12.4740704310135","13.0812244908752","16.4882370319653","18.6096736463768","21.8623446965676","22.5735196110745","","",
"Europe & Central Asia (excluding high income)","ECA","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0140061209090005","0.185895546142178","0.420449601641443","0.971102651109521","1.86838021322259","3.29901611690995","5.21411451746857","6.82363588640712","8.49737741526134","9.62582622942737","11.1352016094484","12.5428682306204","13.1229717204612","14.4466473194956","15.1787433505424","16.6949583569899","17.494279187838","","",
"Europe & Central Asia","ECS","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.89224092027123","3.15848062447862","5.39544795415441","7.62569956886666","10.5230460707013","13.3737884162622","15.5465613774193","17.3675430952377","18.9936644903195","20.3194630397331","21.5021433438972","22.7570618949341","23.6255163216482","24.8051915996056","25.7174133293731","26.9774327807214","27.64985655693","","",
"Ecuador","ECU","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0203102","0.0494466","0.051729","0.0854639","0.193739","0.327184","0.699469","1.0732","1.63277","1.47437","4.32254","5.45236","6.73853","8.27257","9.17586","8.86184","10.0313","11.4393","12.0439","",
"Egypt, Arab Rep.","EGY","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0712555","0.0753164","0.106802","0.186695","0.3363","0.610276","0.966577","1.32802","1.754","2.18297","2.64836","3.02729","3.39275","4.13923","4.73192","5.42693","6.68515","7.56957","",
